token,score
vo,8.98588292656566
▁sc,8.98626677003005
ope,8.987859416559255
ms,8.988655478038792
▁fac,8.988820594513056
heir,8.989385353221254
ied,8.99123976033952
▁ye,8.993657472223017
thei,8.997019555259852
their,8.997746987444184
las,8.998570579479345
▁thei,8.9992525169932
▁their,8.9992525169932
ost,8.999398531682047
eep,8.99942798260638
rig,8.999968069990915
new,9.000191555082196
ull,9.002228552415117
owe,9.002343003036874
than,9.00368662329134
▁gi,9.004193258559924
ze,9.005610981815765
▁head,9.006007415400735
▁hu,9.006095121316678
rne,9.010789329053138
▁q,9.011068629364232
▁qu,9.011068629364232
eme,9.011787721029723
sse,9.01510172056457
shi,9.015207680829569
let,9.017218065370193
star,9.020829672980604
wil,9.025487919177657
ps,9.029788403881803
▁ga,9.031842289320359
long,9.03202356804577
rc,9.032075549127203
sw,9.036943297324859
pped,9.040041487337865
tly,9.040254936829433
lac,9.04853013440586
arm,9.05147832129075
think,9.051778273714339
hink,9.051778273714339
los,9.052669611433144
▁tw,9.053867505613917
efo,9.055408098190764
itt,9.055900083321708
ean,9.056440377457465
nes,9.058008362800948
▁think,9.058131981926676
efor,9.059101946309339
▁fee,9.060054598527168
ful,9.060871134867313
aro,9.061008159156714
efore,9.06156819640273
roo,9.063333908723708
▁im,9.06397771168467
son,9.065671635907684
chi,9.066813016314578
ssi,9.06870506502113
▁star,9.069323384396197
lled,9.072733632805186
med,9.074744095551585
▁way,9.076103877083908
bef,9.076675086426452
befo,9.077342131065596
befor,9.077342131065596
before,9.077342131065596
wal,9.077461529932245
nee,9.077786632425326
▁bef,9.079007041154718
▁befo,9.079675643647606
▁befor,9.079675643647606
▁before,9.079675643647606
ord,9.079828567858
▁af,9.08048973546146
▁tak,9.0809183310455
rg,9.082465198016305
▁aro,9.083301582244195
ren,9.083915642644314
yi,9.08418407876514
tor,9.08563835811739
clo,9.087519491180828
row,9.087602583613165
gs,9.09027594421652
arou,9.09068724504855
att,9.091202281640307
nst,9.092346261738689
▁arou,9.09328665084343
yin,9.093846184193744
ying,9.093846184193744
gra,9.094411428434096
eo,9.09506340737519
▁aw,9.095676628384933
cke,9.101048225552498
ved,9.103524933736779
aroun,9.103855897887394
around,9.103855897887394
ond,9.104846720930743
ance,9.10501718148147
▁wil,9.105060824054261
able,9.10514811491428
cti,9.105839891600342
▁aroun,9.106489806151266
▁around,9.106489806151266
▁sti,9.108678862976245
▁than,9.110012967201358
▁ot,9.112916061548328
▁oth,9.112916061548328
▁othe,9.112916061548328
▁other,9.112916061548328
hear,9.113527952744292
righ,9.11449261335423
right,9.11449261335423
tic,9.114498120508024
▁sur,9.116978042211999
day,9.119277354398912
▁gu,9.119659242396912
▁pi,9.121102324027717
fir,9.125203328499774
▁hel,9.12565152742965
cau,9.12624340205307
rst,9.126929021764461
ely,9.126941567967595
rse,9.127175792657065
den,9.127684862833966
every,9.130585225735743
reat,9.131075037657762
jo,9.131773784632674
eli,9.13207359732204
tter,9.132243157370176
▁pre,9.134950198800217
▁every,9.135675565873367
mak,9.136034226511816
enc,9.136380350489564
dis,9.13705183488237
real,9.137270129215823
eac,9.140043089708588
will,9.140211181269445
▁clo,9.140946030686653
ttl,9.141426801286329
hes,9.143567620372277
eet,9.14384546981936
aus,9.145616446703265
oked,9.14994496176305
ron,9.15104394766677
▁mak,9.151928294711304
lie,9.151994044783867
oom,9.15330566107031
awa,9.154106062602445
▁bi,9.154335275829052
▁real,9.154825395344902
rat,9.156456556764716
